Last login: Wed Nov 19 09:15:22 on ttys016
/dev/fd/12:18: command not found: compdef
(base) atlesund@Atles-MacBook-Pro ~ % psql -h 138.100.82.184 -U lectura -d 2207 -p 2345                                         
Password for user lectura: 
psql (14.19 (Homebrew), server 14.17 (Debian 14.17-1.pgdg120+1))
Type "help" for help.

2207=> SELECT vf.value, TO_TIMESTAMP(vf.date/1000) AS ts, v.name, v.datatype, units.prettyname FROM variable_log_float vf LEFT JOIN variable v ON vf.id_var = v.id LEFT JOIN units ON units.name = v.name ORDER BY ts DESC LIMIT 50;
     value     |           ts           |                 name                  |     datatype      |            prettyname             
 2022-02-23 01:04:16+00 | 255 | 2022-02-23 01:04:17+00
 2022-02-23 01:04:17+00 |   0 | 2022-02-23 01:04:34+00
 2022-02-23 01:04:34+00 | 255 | 2022-02-23 01:06:07+00
 2022-02-23 01:06:07+00 |   0 | 2022-02-23 01:07:12+00
 2022-02-23 01:07:12+00 | 255 | 2022-02-23 01:08:04+00
 2022-02-23 01:08:04+00 |   0 | 2022-02-23 01:12:45+00
 2022-02-23 01:12:45+00 | 255 | 2022-02-23 01:12:46+00
 2022-02-23 01:12:46+00 |   0 | 2022-02-23 01:12:47+00
 2022-02-23 01:12:47+00 | 255 | 2022-02-23 02:39:57+00
 2022-02-23 02:39:57+00 |   0 | 2022-02-23 02:40:07+00
 2022-02-23 02:40:07+00 | 255 | 2022-02-23 02:41:25+00
 2022-02-23 02:41:25+00 |   0 | 2022-02-23 02:41:30+00
 2022-02-23 02:41:30+00 | 255 | 2022-02-23 02:41:32+00
 2022-02-23 02:41:32+00 |   0 | 2022-02-23 02:41:35+00
 2022-02-23 02:41:35+00 | 255 | 2022-02-23 02:48:29+00
 2022-02-23 02:48:29+00 |   0 | 2022-02-23 02:48:44+00
 2022-02-23 02:48:44+00 | 255 | 2022-02-23 02:52:11+00
 2022-02-23 02:52:11+00 |   0 | 2022-02-23 02:52:13+00
 2022-02-23 02:52:13+00 | 255 | 2022-02-23 02:52:14+00
 2022-02-23 02:52:14+00 |   0 | 2022-02-23 02:52:15+00
 2022-02-23 02:52:15+00 | 255 | 2022-02-23 02:52:18+00
 2022-02-23 02:52:18+00 |   0 | 2022-02-23 02:58:49+00
 2022-02-23 02:58:49+00 |   0 | 2022-02-23 02:59:43+00
 2022-02-23 02:59:43+00 | 255 | 2022-02-23 02:59:46+00
 2022-02-23 02:59:46+00 |   0 | 2022-02-23 03:03:26+00
 2022-02-23 03:03:26+00 | 255 | 2022-02-23 03:05:10+00
 2022-02-23 03:05:10+00 |   0 | 2022-02-23 03:05:22+00
 2022-02-23 03:05:22+00 | 255 | 2022-02-23 03:56:05+00
 2022-02-23 03:56:05+00 |   0 | 2022-02-23 03:56:28+00
 2022-02-23 03:56:28+00 | 255 | 2022-02-23 03:59:10+00
 2022-02-23 03:59:10+00 |   0 | 2022-02-23 03:59:13+00
 2022-02-23 03:59:13+00 | 255 | 2022-02-23 04:01:04+00
 2022-02-23 04:01:04+00 |   0 | 2022-02-23 04:01:11+00
 2022-02-23 04:01:11+00 | 255 | 2022-02-23 06:07:11+00
 2022-02-23 06:07:11+00 |   0 | 2022-02-23 06:07:20+00
 2022-02-23 06:07:20+00 | 255 | 2022-02-23 06:07:21+00
 2022-02-23 06:07:21+00 |   0 | 2022-02-23 06:08:07+00
 2022-02-23 06:08:07+00 | 255 | 2022-02-23 06:43:35+00
 2022-02-23 06:43:35+00 |   0 | 2022-02-23 06:44:18+00
 2022-02-23 06:44:18+00 | 255 | 2022-02-23 06:44:19+00
 2022-02-23 06:44:19+00 |   0 | 2022-02-23 06:44:21+00
 2022-02-23 06:44:21+00 | 255 | 2022-02-23 07:17:21+00
 2022-02-23 07:17:21+00 |   0 | 2022-02-23 07:19:19+00
 2022-02-23 07:19:19+00 | 255 | 2022-02-23 07:19:20+00
 2022-02-23 07:19:20+00 |   0 | 2022-02-23 07:19:22+00
 2022-02-23 07:19:22+00 | 255 | 2022-02-23 07:19:23+00
 2022-02-23 07:19:23+00 |   0 | 2022-02-23 07:19:26+00
 2022-02-23 07:19:26+00 | 255 | 2022-02-23 07:37:18+00
 2022-02-23 07:37:18+00 |   0 | 2022-02-23 07:37:26+00
 2022-02-23 07:37:26+00 | 255 | 2022-02-23 07:37:27+00
 2022-02-23 07:37:27+00 |   0 | 2022-02-23 07:37:28+00
 2022-02-23 07:37:28+00 | 255 | 2022-02-23 07:45:47+00
 2022-02-23 07:45:47+00 |   0 | 2022-02-23 07:49:46+00
 2022-02-23 07:49:46+00 | 255 | 2022-02-23 07:49:47+00
 2022-02-23 07:49:47+00 |   0 | 2022-02-23 07:49:49+00
2207=> WITH data AS (
    SELECT
        vf.value,
        TO_TIMESTAMP(vf.date/1000) AS ts,
        date_trunc('hour', TO_TIMESTAMP(vf.date/1000)) AS hour_ts,
        v.name,
        v.datatype,
        units.prettyname,
        row_number() OVER (
            PARTITION BY date_trunc('hour', TO_TIMESTAMP(vf.date/1000))
            ORDER BY TO_TIMESTAMP(vf.date/1000) DESC
        ) AS rn
    FROM variable_log_float vf
    LEFT JOIN variable v ON vf.id_var = v.id
    LEFT JOIN units   ON units.name = v.name
    WHERE TO_TIMESTAMP(vf.date/1000)::date = DATE '2022-02-23'
      AND v.name = 'TEMPERATURA_BASE'
)
SELECT value, ts, name, datatype, prettyname
FROM data
WHERE rn = 1              -- one row (latest) per hour
ORDER BY ts DESC;
 value |           ts           |       name       |    datatype     |    prettyname    
-------+------------------------+------------------+-----------------+------------------
  1526 | 2022-02-23 18:59:59+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1521 | 2022-02-23 17:59:59+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1512 | 2022-02-23 16:59:59+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1511 | 2022-02-23 15:59:59+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1511 | 2022-02-23 14:59:59+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1505 | 2022-02-23 13:59:59+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1503 | 2022-02-23 12:59:59+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1506 | 2022-02-23 11:59:59+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1501 | 2022-02-23 10:59:59+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1501 | 2022-02-23 09:59:58+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1495 | 2022-02-23 08:59:59+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1498 | 2022-02-23 07:59:59+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1494 | 2022-02-23 06:59:59+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1494 | 2022-02-23 05:59:59+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1498 | 2022-02-23 04:59:59+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1504 | 2022-02-23 03:59:59+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1506 | 2022-02-23 02:59:59+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1501 | 2022-02-23 01:59:57+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
  1503 | 2022-02-23 00:59:59+00 | TEMPERATURA_BASE | java.lang.Short | Base temperature
(19 rows)

2207=> 
